codigo;nome;ente_codigo;municipio_codigo;uf_codigo
23064;COMPANHIA INDUSTRIAL DE LATICÍNIOS DO ACRE - CILA;100;;
23065;AGÊNCIA DE FOMENTO;100;;
23066;AGÊNCIA DE NEGÓCIOS DO ESTADO DO ACRE S.A - ANAC;100;;
23067;BANCO DO ESTADO DO ACRE S.A - BANACRE;100;;
23068;ADMINISTRADORA DA ZONA DE PROCESSAMENTO DE EXPORTAÇÃO DO ACRE - AZPE;100;;
23069;FUNDO ESTADUAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB ESTADUAL;100;;
23070;FUNDO DE REAPARELHAMENTO POLICIAL - FUREPOL - PMAC;100;;
23071;FUNDO DE REAPARELHAMENTO POLICIAL - FUREPOL - PCAC;100;;
23072;FUNDO DE REAPARELHAMENTO POLICIAL - FUREPOL - CBMAC;100;;
23073;FUNDO ESTADUAL DE COMANDO E CONTROLE AMBIENTAL - FECCA;100;;
23074;FUNDO ESTADUAL DO DIREITO DA CRIANCA E DO ADOLESCENTE - FDCA;100;;
23075;FUNDES - FOLHA DE PESSOAL DA SAÚDE - SECRETARIA DE GESTÃO ADMINISTRATIVA;100;;
23076;FUNDES - GASTOS CORPORATIVOS - SECRETARIA DE ESTADO DA FAZENDA;100;;
23077;FUNDES - FUNDO ESTADUAL DE SAÚDE - SECRETARIA DE ESTADO DA SAÚDE;100;;
23078;FUNDO DE ASSISTÊNCIA SOCIAL - FEAS;100;;
23079;FUNDO DE ÁGUA E ESGOTO - FAE;100;;
23080;FUNDO AGROPECUÁRIO - FUNAGRO;100;;
23081;FUNDO DE AVAL;100;;
23082;FUNDO DE PESQUISA E PRESERVAÇÃO DE PAT. HIST. E CULTURA DO ACRE;100;;
23083;FUNDO DE DESENVOLVIMENTO SUSTENTÁVEL - FDS;100;;
23084;FUNDO DE DESENVOLVIMENTO ESTADUAL - FDE;100;;
23085;FUNDO ESTADUAL DE SEGURANÇA DOS MAGISTRADOS;100;;
23086;FUNDO ESPECIAL DO PODER JUDICIÁRIO;100;;
